exp_id,healthy_recall,pneumonia_recall,covid_recall,macro_f1,notes
exp_B0_baseline_frozen,0.9385219097449312,0.9702970297029704,0.8339483394833949,0.8993902867328266,Frozen Xception backbone baseline
exp_B1_LR_test,0.8711576193590582,0.9554455445544554,0.9059040590405903,0.8796486848554915,Frozen Xception backbone baseline
exp_B2_LR_test,0.8122956180510137,0.9801980198019802,0.8837638376383764,0.8218783856927784,Frozen Xception backbone baseline
exp_B3_LR_test,0.7560497056899934,0.9801980198019802,0.8505535055350554,0.7797107643290362,Frozen Xception backbone baseline
exp_B4_LR_test,0.7115761935905821,0.9702970297029704,0.7693726937269373,0.722052219100758,Frozen Xception backbone baseline
exp_B5_wd_test,0.8247220405493787,0.9801980198019802,0.92619926199262,0.8549468402107321,Frozen Xception backbone baseline
exp_B6_wd_test,0.9162851536952256,0.9851485148514852,0.8487084870848709,0.8836761939082255,Frozen Xception backbone baseline
exp_B7_opt_test,0.8299542184434271,0.995049504950495,0.922509225092251,0.8569164202102838,Frozen Xception backbone baseline
exp_B8_opt_test,0.8986265533028123,0.9504950495049505,0.8911439114391144,0.8922127322599286,Frozen Xception backbone baseline
exp_B9_opt_test,0.8103335513407456,0.9455445544554456,0.8911439114391144,0.8270700255787,Frozen Xception backbone baseline
exp_B10_unfreezing_test,0.8966644865925442,0.9801980198019802,0.8929889298892989,0.8899084607287976,Xception Finetuning
exp_B11_unfreezing_test,0.9888816219751472,0.9851485148514852,0.9870848708487084,0.9816188131702144,Xception Finetuning
exp_B12_unfreezing_test,0.9914977109221712,0.9851485148514852,0.992619926199262,0.9868766999059382,Xception Finetuning
exp_B13_unfreezing_test,0.9934597776324395,0.9851485148514851,0.988929889298893,0.9864941611213145,Xception Finetuning
